customer_id,customer_name,city,phone,annual_income
1,Xavier Bhatti,Mathura,916752769810,2580128
2,Frado Parmar,Kulti,5181161906,546543
3,Fiyaz Shere,Vijayanagaram,914704835165,2030651
4,Rayaan Bajwa,Rampur,1155351357,2614340
5,Chaman Mann,Agartala,6915856421,1904726
6,Zashil Bhasin,Chinsurah,911684786767,618899
7,Qarin Ramesh,Allahabad,911469025820,1530018
8,Mugdha Wadhwa,Jalgaon,643045265,1800979
9,Gavin Prakash,Anand,917330600121,1354977
10,Baljiwan Narula,Tiruppur,5487265314,1272596
11,Yadavi Rattan,Mathura,4736607239,2435007
12,Maanav Mall,Bhiwani,5598015178,2488535
13,Sai Palla,Jhansi,9809239086,2541572
14,Wyatt Behl,Salem,6514169350,2455639
15,Dayita Khanna,Muzaffarnagar,6062646204,2355709
16,Harrison Dhingra,Buxar,2513055728,2859903
17,Wishi Pau,Alappuzha,8956369618,1961453
18,Karan Krishna,Agartala,914975305652,1095858
19,Amol Muni,Jalgaon,8463809616,2335776
20,Udyati Jani,Bally,5232313799,1686394
21,Garima Zacharia,Panchkula,9177893422,567045
22,Siya Bose,Muzaffarpur,7098186578,2611053
23,Ira Agate,Gwalior,7624777436,451466
24,Ojas Mittal,Jodhpur,3547804292,676610
25,Tanmayi Dada,Vijayanagaram,6528679008,1653315
26,Theodore Mane,Adoni,912995298519,670801
27,Pranit Rau,Davanagere,913157860342,420423
28,Yauvani Taneja,Sagar,469813928,329030
29,Qushi Mistry,Dibrugarh,910217368774,348928
30,Saumya Ramachandran,Mehsana,6333067251,2504612
31,Vedant Sunder,Maheshtala,2523893220,2260577
32,Vamakshi Munshi,Nashik,1061179202,1795579
33,Wahab Shanker,Anand,3039603065,1675366
34,Jeevika Upadhyay,Akola,1271954834,1842321
35,Triya Gera,Burhanpur,913032982450,652753
36,Chatura Tak,Bhatpara,910177697166,457823
37,Eesha Koshy,Kottayam,919999900809,2303336
38,Daksha Saraf,Dharmavaram,916891008567,2374251
39,Sarthak Ray,Chittoor,8783489290,961331
40,Jagat Lad,Sultan Pur Majra,910767814553,420526
41,Ayaan Soni,Kurnool,7347705582,2648953
42,Orinder Sarna,Bally,467288120,468590
43,Bhanumati Dube,Ghaziabad,3264812229,1378350
44,Yashodhara Bir,Farrukhabad,90009950,1235041
45,Daksha Pal,Hindupur,915217834283,2695302
46,Veer Chadha,Morbi,917187389863,2751130
47,Bishakha Chawla,Fatehpur,1039940072,2638519
48,Advika Dasgupta,Khammam,252738728,2547462
49,Qushi Khosla,Pune,2013834188,2879685
50,Hemang Chahal,New Delhi,4704145246,2365648
51,Nisha Varghese,Karaikudi,1764143357,730155
52,Siya Srinivas,Orai,6004549703,2111344
53,Mahika Bala,Durg,915671309355,2588272
54,Ayaan Banik,Firozabad,5886668010,1697400
55,Chaitaly Brar,Anantapur,918964433016,432202
56,Guneet Wason,Kanpur,917198615466,1004226
57,Vrishti Nigam,Saharsa,919851513539,1316244
58,Chatresh Ratta,Purnia,144847559,1943292
59,Lila Jain,Hindupur,913161556586,2106944
60,Nirja Bassi,Naihati,7656310297,934356
61,Warinder Mangal,Dewas,914053540224,762455
62,Ishani Manne,Bhilwara,2955666613,548574
63,Mitesh Khare,Mumbai,5391592013,2918555
64,Nakul Mammen,Silchar,766648238,822513
65,Eesha Pathak,Madhyamgram,917105776008,1350096
66,Dipta Kant,Haldia,910344314667,2598475
67,David Sandal,Karimnagar,4233796621,1185821
68,Veer Kota,Gandhidham,6057728019,1354634
69,Radhika Dalal,Panihati,1766576603,1321107
70,Oni Mani,Panvel,8903943900,992267
71,Dalaja Manda,Rohtak,917029346019,2143434
72,Liam Srivastava,Srinagar,919388632100,2047345
73,Yoshita Dyal,Sirsa,919328024218,1670231
74,Simon Swaminathan,Sirsa,8827660718,2369449
75,Nitesh Saini,Coimbatore,913626311973,2122541
76,Darika Swamy,Nellore,916425824721,1033992
77,Ekantika Mutti,Miryalaguda,2486769856,1349148
